year,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,liveness,speechiness,backing_dancers,backing_singers,backing_instruments,instrument_10,final_televote_points,final_jury_points,final_place,semi_place,favourite_10,host_10
2010,14,5,Cyprus,Jon Lilygreen and The Islanders,Life Looks Better in Spring,English,Pop,Male,1,C Major,152,56,55,48,-9,-,14,3,0,2,3,1,16,57,21,10,0,0
2010,15,0,Croatia,Feminnem,Lako je sve,Croatian,Ballad,Female,3,Eb Minor,76,64,50,49,-5,38,15,4,2,0,0,0,0,0,0,13,0,0
2010,16,13,Georgia,Sofia Nizharadze,Shine,English,Ballad,Female,1,D Major,126,49,46,17,-7,17,31,3,3,2,0,0,127,160,9,3,0,0
2010,17,14,Turkey,maNga,We Could Be the Same,English,Rock,Male,1,A Minor,112,68,56,41,-7,1,14,3,0,0,4,0,177,119,2,1,0,0
2010,0,2,Spain,Daniel Diges,Algo pequenito,Spanish,Pop,Male,1,D Minor,88,62,37,71,-5,73,27,8,4,1,0,0,106,43,15,-,0,0
2010,0,3,Norway,Didrik Solli-Tangen,My Heart Is Yours,English,Ballad,Male,1,A Major,133,24,28,22,-5,83,13,3,0,5,0,0,18,61,20,-,0,1
2010,0,12,United Kingdom,Josh Dubovie,That Sounds Good to Me,English,Pop,Male,1,G Major,124,69,55,38,-11,14,18,4,2,3,0,0,0,0,25,-,0,0
2010,0,18,France,Jessy Matador,Allez Ola Ole,French,Dance,Male,1,B Major,129,93,64,72,-5,0,6,6,3,2,0,0,151,34,12,-,0,0
2010,0,22,Germany,Lena,Satellite,English,Pop,Female,1,E Minor,95,94,75,87,-10,0,10,5,0,4,0,0,243,187,1,-,1,0
2009,1,0,Montenegro,Andrea Demirovic,Just Get Out of My Life,English,Pop,Female,1,G Minor,138,91,56,56,-3,2,66,5,1,0,0,0,0,0,0,-,0,0
2009,2,0,Czech Republic,Gipsy.cz,Aven Romale,"English, Romani",Traditional,Male,1,Bb Minor,154,84,80,69,-7,20,23,46,0,0,5,0,0,0,0,18,0,0
2009,3,0,Belgium,Copycat,Copycat,English,Pop,Male,1,D Major,88,100,50,58,-3,-,37,24,0,2,2,0,0,0,0,17,0,0
2009,4,0,Belarus,Petr Elfimov,Eyes That Never Lie,English,Rock,Male,1,D Minor,138,90,39,26,-4,0,34,5,1,2,1,0,0,0,0,13,0,0
2009,5,4,Sweden,Malena Ernman,La voix,"French, English",Traditional,Female,1,Bb Major,128,65,52,46,-4,35,21,4,5,0,0,0,59,27,21,4,0,0
2009,6,9,Armenia,Inga and Anush,Jan Jan,"English, Armenian",Traditional,Female,2,E Minor,115,86,78,76,-4,36,35,8,4,0,0,0,111,71,10,5,0,0
2009,7,0,Andorra,Susanne Georgi,La teva decisio (Get a Life),"Catalan, English",Pop,Female,1,D Major,133,40,77,92,-16,7,10,5,0,2,2,0,0,0,0,15,0,0
2009,8,0,Switzerland,Lovebugs,The Highest Heights,English,Rock,Male,1,D Minor,118,93,47,29,-4,1,38,4,0,0,4,0,0,0,0,14,0,0
2009,9,18,Turkey,Hadise,Dum Tek Tek,English,Dance,Female,1,F Major,115,97,75,87,-4,13,8,6,2,2,0,0,203,114,4,2,0,0
2009,10,2,Israel,Noa and Mira Awad,There Must Be Another Way,"English, Hebrew, Arabic",Pop,Female,2,Db Major,106,79,60,69,-5,23,10,2,0,0,3,0,15,107,16,7,0,0
2009,11,0,Bulgaria,Krassimir Avramov,Illusion,English,Dance,Mix,4,E Minor,130,91,49,44,-5,1,9,7,2,0,0,0,0,0,0,16,0,0
2009,12,7,Iceland,Yohanna,Is It True?,English,Ballad,Female,1,C Minor,84,57,47,23,-7,35,7,3,0,3,2,0,173,260,2,1,0,0
2009,14,22,Romania,Elena,The Balkan Girls,English,Dance,Female,1,F Major,130,86,72,63,-4,2,5,3,4,0,0,0,64,31,19,9,0,0
2009,15,24,Finland,Waldo's People,Lose Control,English,Pop,Male,1,G Major,138,96,56,88,-4,0,26,6,2,3,0,0,30,12,25,12,0,0
2009,16,6,Portugal,Flor-de-Lis,Todas as ruas do amor,Portuguese,Traditional,Female,1,G Major,95,70,50,33,-5,34,12,3,0,0,5,0,45,64,15,8,0,0
2009,17,14,Malta,Chiara,What If We,English,Ballad,Female,1,Db Major,123,44,48,14,-7,62,7,3,0,0,0,0,18,87,22,6,0,0
2009,18,12,Bosnia and Herzegovina,Regina,Bistra voda,Bosnian,Ballad,Male,1,Fs Minor,152,78,52,38,-4,44,11,4,0,0,5,0,124,90,9,3,0,0
2009,1,5,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,Croatian,Ballad,Mix,2,Db Minor,116,69,58,43,-4,56,8,3,0,4,0,0,55,58,18,13,0,0
2009,2,0,Ireland,Sinead Mulvey and Black Daisy,Et Cetera,English,Rock,Female,1,F Minor,170,75,45,44,-6,0,36,3,0,0,3,0,0,0,0,11,0,0
2009,4,0,Serbia,Marko Kon and Milaan,Cipela,Serbian,Traditional,Male,1,Cs Major,140,96,82,87,-2,-,9,8,4,0,1,0,0,0,0,10,0,0
2009,5,0,Poland,Lidia Kopania,I Don't Wanna Leave,English,Ballad,Female,1,Fs Major,144,69,45,26,-4,31,55,3,2,3,0,0,0,0,0,12,0,0
2009,6,20,Norway,Alexander Rybak,Fairytale,English,Traditional,Male,1,D Minor,108,79,58,67,-5,62,23,3,3,2,0,1,378,312,1,1,1,0
2009,7,0,Cyprus,Christina Metaxa,Firefly,English,Ballad,Female,1,Fs Major,102,42,57,34,-6,-,6,3,0,5,0,0,0,0,0,14,0,0
2009,9,16,Denmark,Niels Brinck,Believe Again,English,Rock,Male,1,E Minor,128,75,66,34,-5,1,10,5,0,0,5,0,40,120,13,8,0,0
2009,10,0,Slovenia,Quartissimo feat. Martina,Love Symphony,"English, Slovene",Pop,Female,1,A Major,132,92,62,40,-2,-,33,3,0,0,4,0,0,0,0,16,0,0
2009,11,0,Hungary,Zoli adok,Dance with Me,English,Pop,Male,1,Ab Major,125,96,66,81,-4,0,8,10,3,2,0,0,0,0,0,15,0,0
2009,12,11,Azerbaijan,AySel and Arash,Always,English,Pop,Mix,2,Ds Minor,108,95,65,71,-2,-,6,5,3,0,0,0,253,112,3,2,0,0
2009,13,8,Greece,Sakis Rouvas,This Is Our Night,English,Dance,Male,1,Fs Minor,128,92,65,65,-5,4,16,7,4,0,0,0,151,93,7,4,0,0
2009,14,1,Lithuania,Sasha Son,Love,"English, Russian",Ballad,Male,1,A Minor,103,58,35,40,-8,-,9,4,0,3,1,0,38,31,23,9,0,0
2009,15,13,Moldova,Nelly Ciobanu,Hora din Moldova,"Romanian, English",Traditional,Female,1,Fs Minor,90,86,57,52,-5,-,17,5,4,1,0,0,66,93,14,5,0,0
2009,16,19,Albania,Kejsi Tola,Carry Me in Your Dreams,English,Dance,Female,1,Ab Minor,128,67,68,67,-8,0,8,5,3,2,0,0,81,26,17,7,0,0
2009,17,21,Ukraine,Svetlana Loboda,Be My Valentine! (Anti-Crisis Girl),English,Pop,Female,1,Fs Minor,125,92,61,85,-4,-,64,6,5,0,0,1,70,68,12,6,0,0
2009,18,15,Estonia,Urban Symphony,Randajad,Estonian,Ballad,Female,1,F Minor,124,72,69,64,-6,3,33,4,0,2,3,1,129,124,6,3,0,0
2009,19,0,Netherlands,The Toppers,Shine,English,Pop,Male,3,Gs Major,132,89,66,79,-5,-,12,9,0,3,0,0,0,0,0,17,0,0
2009,0,3,France,Patricia Kaas,Et s'il fallait le faire,French,Ballad,Female,1,A Major,92,58,26,23,-8,55,90,8,0,0,0,0,54,164,8,-,0,0
2009,0,10,Russia,Anastasiya Prikhodko,Mamo,"Russian, Ukrainian",Ballad,Female,1,D Minor,130,94,64,45,-4,41,26,5,0,5,0,0,118,67,11,-,0,1
2009,0,17,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,English,Pop,Male,1,Bb Minor,136,89,62,56,-4,11,20,21,3,1,1,0,18,73,20,-,0,0
2009,0,23,United Kingdom,Jade Ewen,It's My Time,English,Ballad,Female,1,E Major,105,31,30,12,-14,1,29,3,0,0,5,0,105,223,5,-,0,0
2009,0,25,Spain,Soraya Arnelas,La noche es para mi,"Spanish, English",Dance,Female,1,F Minor,126,70,69,87,-7,1,14,3,2,3,0,0,38,9,24,-,0,0
